127.0.0.1 - - [09/Feb/2022:13:01:48 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:11:13 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:24:22 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 44 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:25:24 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 279 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:30:47 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 59 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:34:10 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 59 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:34:11 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 59 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:34:12 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 59 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:35:55 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 180 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:38:33 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 180 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:38:34 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 180 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:38:35 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 180 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:41:20 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:43:54 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:43:54 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:43:55 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:45:46 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 152 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:45:47 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 152 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:47:15 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 60 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:52:59 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 366 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:54:04 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 366 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:55:36 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 366 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:56:16 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 366 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:58:20 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 65 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:58:38 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 65 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:58:49 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 65 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:59:03 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 65 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:59:21 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 366 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:14:02:43 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 209 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:14:03:32 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 209 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:14:03:33 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 500 209 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:14:05:20 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
